Player,Nationality,Position,Club,Age,Born,90s,No. of players tackled,Tackles won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),No. of dribblers tackled,Dribbles challenged (total),% of dribblers successfully tackled,challenges lost,Blocks,Shots blocked,Passes blocked,Interceptions,Tackles + internceptions,Clearances,Errors
Liel Abada, ISR,"FW,MF",Celtic,20,2001,2.4,1,1,0,0,1,0,2,0.0,2,0,0,0,2,3,1,0
Oliver Abildgaard, DEN,MF,Celtic,26,1996,0.7,4,3,3,1,0,2,4,50.0,2,1,0,1,0,4,1,0
Mohammad Abu Fani, ISR,MF,Maccabi Haifa,24,1998,4.4,9,6,6,1,2,3,8,37.5,5,7,2,5,3,12,0,0
Francesco Acerbi, ITA,DF,Inter,34,1988,10.2,10,8,8,2,0,4,7,57.1,3,8,2,6,11,21,46,0
Marcos Acuña, ARG,"DF,MF",Sevilla,30,1991,2.4,9,5,7,2,0,8,9,88.9,1,0,0,0,2,11,3,0
Junior Adamu, AUT,FW,RB Salzburg,21,2001,2.3,9,8,4,2,3,1,3,33.3,2,5,1,4,1,10,0,0
Antonio Adán, ESP,GK,Sporting CP,35,1987,4.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1
Arijan Ademi, MKD,MF,Dinamo Zagreb,31,1991,5.2,16,11,10,6,0,7,13,53.8,6,5,3,2,3,19,3,0
Karim Adeyemi, GER,"FW,MF",Dortmund,20,2002,4.2,1,1,0,0,1,1,3,33.3,2,3,0,3,2,3,1,0
Amine Adli, FRA,"FW,MF",Leverkusen,22,2000,1.3,3,1,1,2,0,0,1,0.0,1,6,0,6,0,3,0,0
Manuel Akanji, SUI,DF,Manchester City,27,1995,10.5,27,16,10,15,2,14,26,53.8,12,14,2,12,9,36,20,1
Nathan Aké, NED,DF,Manchester City,27,1995,6.8,12,6,3,6,3,3,5,60.0,2,2,1,1,7,19,13,0
David Alaba, AUT,DF,Real Madrid,30,1992,7.9,8,3,2,5,1,5,12,41.7,7,12,8,4,7,15,12,0
Lucas Alario, ARG,"FW,MF",Eint Frankfurt,29,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jordi Alba, ESP,DF,Barcelona,33,1989,1.6,0,0,0,0,0,0,1,0.0,1,3,2,1,0,0,1,0
Thiago Alcántara, ESP,MF,Liverpool,31,1991,3.4,15,8,5,6,4,5,9,55.6,4,4,0,4,7,22,0,0
Trent Alexander-Arnold, ENG,DF,Liverpool,23,1998,6.9,19,13,10,8,1,16,30,53.3,14,7,2,5,4,23,3,0
Sotiris Alexandropoulos, GRE,MF,Sporting CP,20,2001,1.3,1,1,0,1,0,0,0,,0,2,2,0,0,1,2,0
Faride Alidou, GER,"DF,FW",Eint Frankfurt,21,2001,0.8,4,4,2,2,0,2,3,66.7,1,5,0,5,1,5,0,0
Alisson, BRA,GK,Liverpool,29,1992,8.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,1
Marcos Alonso, ESP,DF,Barcelona,31,1990,4.5,5,2,3,1,1,3,6,50.0,3,7,4,3,6,11,18,0
Éder Álvarez Balanta, COL,"MF,FW",Club Brugge,29,1993,0.6,0,0,0,0,0,0,0,,0,1,1,0,2,2,1,0
Edson Álvarez, MEX,MF,Ajax,24,1997,5.9,15,8,6,8,1,8,12,66.7,4,5,1,4,11,26,18,0
Julián Álvarez, ARG,FW,Manchester City,22,2000,5.3,5,3,0,2,3,0,5,0.0,5,1,0,1,2,7,1,0
Nadiem Amiri, GER,"MF,FW",Leverkusen,25,1996,1.4,3,2,1,0,2,2,4,50.0,2,0,0,0,2,5,1,0
Robert Andrich, GER,MF,Leverkusen,27,1994,4.5,10,7,3,6,1,5,6,83.3,1,13,7,6,5,15,10,0
Peter Ankersen, DEN,DF,FC Copenhagen,31,1990,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ofri Arad, ISR,"DF,MF",Maccabi Haifa,23,1998,0.2,2,2,1,0,1,1,1,100.0,0,1,0,1,1,3,0,0
Charles Aránguiz, CHI,MF,Leverkusen,33,1989,2.4,4,2,1,1,2,1,2,50.0,1,3,2,1,2,6,3,0
Henrique Araújo, POR,FW,Benfica,20,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ronald Araújo, URU,DF,Barcelona,23,1999,1.0,1,0,1,0,0,0,0,,0,2,1,1,0,1,0,0
Scott Arfield, CAN,MF,Rangers,33,1988,3.0,4,1,0,4,0,1,6,16.7,5,4,1,3,1,5,1,0
Hákon Arnar Haraldsson, ISL,FW,FC Copenhagen,19,2003,3.3,5,3,2,2,1,1,2,50.0,1,1,0,1,0,5,1,0
Kepa Arrizabalaga, ESP,GK,Chelsea,27,1994,9.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0
Arthur, BRA,"MF,FW",Sporting CP,24,1998,1.2,2,2,1,1,0,0,0,,0,2,0,2,0,2,2,0
Marco Asensio, ESP,"FW,MF",Real Madrid,26,1996,3.6,1,0,0,1,0,1,2,50.0,1,4,0,4,5,6,3,0
Kristjan Asllani, ALB,MF,Inter,20,2002,1.4,4,1,2,1,1,2,2,100.0,0,0,0,0,2,6,5,0
Omer Atzili, ISR,"FW,MF",Maccabi Haifa,29,1993,3.4,7,3,2,3,2,2,9,22.2,7,2,0,2,3,10,1,0
Pierre-Emerick Aubameyang, GAB,FW,Chelsea,33,1989,4.5,0,0,0,0,0,0,1,0.0,1,4,0,4,0,0,3,0
Lynnt Audoor, BEL,MF,Club Brugge,18,2003,0.1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Fredrik Aursnes, NOR,"FW,MF",Benfica,26,1995,6.9,13,9,4,7,2,5,9,55.6,4,10,4,6,5,18,9,1
Sardar Azmoun, IRN,FW,Leverkusen,27,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
César Azpilicueta, ESP,DF,Chelsea,32,1989,2.9,7,5,5,1,1,5,5,100.0,0,5,0,5,3,10,6,1
Youri Baas, NED,DF,Ajax,19,2003,0.5,2,0,1,1,0,0,1,0.0,1,0,0,0,0,2,1,0
Alexander Bah, DEN,DF,Benfica,24,1997,7.3,14,9,8,5,1,6,12,50.0,6,13,3,10,17,31,11,0
Eric Bailly, CIV,DF,Marseille,28,1994,3.4,6,5,2,4,0,4,5,80.0,1,4,4,0,15,21,8,0
Stefan Bajcetic, ESP,MF,Liverpool,17,2004,1.2,6,4,1,3,2,5,6,83.3,1,0,0,0,1,7,0,0
Mitchel Bakker, NED,"MF,DF",Leverkusen,22,2000,3.8,9,5,2,3,4,7,8,87.5,1,6,0,6,4,13,5,0
Alejandro Balde, ESP,DF,Barcelona,18,2003,1.9,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0
Leonardo Balerdi, ARG,DF,Marseille,23,1999,5.5,11,6,3,7,1,3,11,27.3,8,5,4,1,13,24,12,1
Fodé Ballo-Touré, SEN,"DF,MF",Milan,25,1997,1.5,2,2,1,1,0,1,2,50.0,1,4,2,2,5,7,1,0
Tommaso Barbieri, ITA,MF,Juventus,19,2002,0.0,2,1,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0
Roony Bardghji, SWE,FW,FC Copenhagen,16,2005,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Nicolò Barella, ITA,MF,Inter,25,1997,11.0,23,14,10,11,2,9,24,37.5,15,14,1,13,2,25,11,0
Borna Barišić, CRO,DF,Rangers,29,1992,5.2,9,3,4,4,1,4,8,50.0,4,11,7,4,3,12,5,0
Enzo Barrenechea, ARG,DF,Juventus,21,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Pablo Barrios, ESP,MF,Atlético Madrid,19,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Calvin Bassey, NGA,DF,Ajax,22,1999,6.0,14,9,8,4,2,7,11,63.6,4,9,4,5,7,21,23,0
Fortune Bassey, NGA,FW,Viktoria Plzeň,23,1998,1.5,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Alessandro Bastoni, ITA,DF,Inter,23,1999,10.9,20,8,17,3,0,10,16,62.5,6,14,5,9,9,29,32,0
Dylan Batubinsika, COD,DF,Maccabi Haifa,26,1996,5.0,8,1,7,1,0,3,5,60.0,2,3,1,2,10,18,14,0
Martin Baturina, CRO,MF,Dinamo Zagreb,19,2003,0.7,3,1,2,0,1,2,2,100.0,0,1,0,1,0,3,0,0
Raoul Bellanova, ITA,"DF,MF",Inter,22,2000,1.3,2,1,2,0,0,1,3,33.3,2,2,0,2,1,3,2,0
Héctor Bellerín, ESP,DF,Barcelona,27,1995,2.0,4,3,1,2,1,2,3,66.7,1,3,2,1,1,5,1,0
Jude Bellingham, ENG,MF,Dortmund,19,2003,7.0,15,8,9,3,3,8,16,50.0,8,15,4,11,13,28,8,0
Ismaël Bennacer, ALG,MF,Milan,24,1997,6.5,26,13,11,10,5,5,10,50.0,5,5,0,5,7,33,2,0
Rodrigo Bentancur, URU,"MF,FW",Tottenham,25,1997,5.6,12,7,4,7,1,6,8,75.0,2,5,2,3,5,17,4,0
Karim Benzema, FRA,FW,Real Madrid,34,1987,8.3,2,2,1,0,1,0,1,0.0,1,5,0,5,0,2,8,0
Steven Berghuis, NED,"MF,FW",Ajax,30,1991,5.1,13,9,2,8,3,7,10,70.0,3,5,0,5,4,17,0,0
Steven Bergwijn, NED,FW,Ajax,24,1997,5.8,3,1,0,1,2,1,1,100.0,0,2,0,2,1,4,1,0
Alexandro Bernabei, ARG,FW,Celtic,21,2000,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Bernardo, BRA,DF,RB Salzburg,27,1995,3.0,10,6,9,1,0,4,7,57.1,3,6,3,3,5,15,16,1
Juan Bernat, ESP,DF,Paris S-G,29,1993,3.1,11,7,9,1,1,7,10,70.0,3,3,1,2,1,12,2,0
Victor Bernth Kristiansen, DEN,"DF,MF",FC Copenhagen,19,2002,5.4,15,6,9,3,3,5,7,71.4,2,11,1,10,6,21,14,0
Modou Biramé Ndiaye, SEN,MF,Viktoria Plzeň,25,1996,2.0,4,1,3,1,0,2,8,25.0,6,2,0,2,6,10,4,0
Yves Bissouma, MLI,MF,Tottenham,25,1996,1.0,2,1,2,0,0,1,2,50.0,1,4,1,3,2,4,2,0
Janis Blaswich, GER,GK,RB Leipzig,31,1991,5.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Daley Blind, NED,DF,Ajax,32,1990,4.5,17,10,6,6,5,10,14,71.4,4,6,2,4,4,21,9,1
Petar Bočkaj, CRO,"DF,FW",Dinamo Zagreb,26,1996,0.4,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Nicolai Boilesen, DEN,DF,FC Copenhagen,30,1992,1.1,0,0,0,0,0,0,1,0.0,1,2,1,1,2,2,3,0
Valerii Bondar, UKR,DF,Shakhtar,23,1999,6.0,7,5,5,2,0,2,3,66.7,1,11,9,2,7,14,30,1
Artem Bondarenko, UKR,MF,Shakhtar,21,2000,5.4,14,4,10,2,2,5,9,55.6,4,1,0,1,7,21,6,0
Leonardo Bonucci, ITA,DF,Juventus,35,1987,4.9,2,0,1,1,0,2,4,50.0,2,6,6,0,2,4,14,0
Gonçalo Borges, POR,"MF,FW",Porto,21,2001,0.4,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Rafael Borré, COL,FW,Eint Frankfurt,26,1995,2.5,2,1,0,0,2,0,7,0.0,7,3,0,3,0,2,1,0
Yassine Bounou, MAR,GK,Sevilla,31,1991,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,2
Dedryck Boyata, BEL,DF,Club Brugge,31,1990,1.5,1,0,1,0,0,1,1,100.0,0,1,1,0,7,8,7,0
Julian Brandt, GER,"MF,FW",Dortmund,26,1996,5.3,7,3,2,3,2,2,10,20.0,8,5,1,4,2,9,4,0
Gleison Bremer, BRA,DF,Juventus,25,1997,3.0,6,3,5,1,0,2,5,40.0,3,6,2,4,5,11,13,0
Brian Brobbey, NED,FW,Ajax,20,2002,1.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Armando Broja, ALB,FW,Chelsea,20,2001,1.3,2,1,0,0,2,0,1,0.0,1,1,1,0,0,2,0,0
Marcelo Brozović, CRO,MF,Inter,29,1992,6.1,18,11,12,4,2,7,18,38.9,11,9,5,4,9,27,5,1
Pavel Bucha, CZE,MF,Viktoria Plzeň,24,1998,4.0,6,3,4,2,0,5,9,55.6,4,3,0,3,2,8,2,0
Tajon Buchanan, CAN,"DF,MF",Club Brugge,23,1999,5.8,9,4,8,0,1,5,10,50.0,5,3,0,3,0,9,4,0
Marko Bulat, CRO,MF,Dinamo Zagreb,20,2001,0.3,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,2,0
Sergio Busquets, ESP,MF,Barcelona,34,1988,3.2,8,8,1,6,1,4,7,57.1,3,2,0,2,4,12,2,1
Aurélio Buta, POR,DF,Eint Frankfurt,25,1997,1.8,5,4,3,2,0,3,4,75.0,1,5,1,4,1,6,4,0
Jamie Bynoe-Gittens, ENG,MF,Dortmund,17,2004,0.4,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
Jovane Cabral, CPV,MF,Sporting CP,24,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Davide Calabria, ITA,DF,Milan,25,1996,5.5,17,10,15,2,0,10,20,50.0,10,9,3,6,15,32,12,0
Hakan Çalhanoğlu, TUR,MF,Inter,28,1994,8.9,16,11,5,8,3,8,20,40.0,12,5,3,2,8,24,7,0
Eduardo Camavinga, FRA,"MF,DF",Real Madrid,19,2002,8.0,26,17,17,6,3,11,32,34.4,21,12,0,12,6,32,11,0
Emre Can, GER,MF,Dortmund,28,1994,6.3,16,12,7,8,1,7,11,63.6,4,13,4,9,13,29,6,1
