Player,Nationality,Position,Club,Age,Born,90s,Total Passes attempted,Live Ball Passes,Dead Ball Passes,Passes from Free kicks,Through balls,Switches,Crosses,Throw-ins taken,Corner kicks,Inswinging Corner kicks,Outswinging Corner kicks,Straight Corner kicks,Passes completed,Passes offside,Passes blocked
Liel Abada,ISR,"FW,MF",Celtic,20,2001,2.4,59,58,1,0,0,0,10,1,0,0,0,0,39,0,4
Oliver Abildgaard,DEN,MF,Celtic,26,1996,0.7,33,33,0,0,0,0,0,0,0,0,0,0,24,0,1
Mohammad Abu Fani,ISR,MF,Maccabi Haifa,24,1998,4.4,230,218,10,2,0,5,2,2,5,0,0,0,198,2,4
Francesco Acerbi,ITA,DF,Inter,34,1988,10.2,562,539,23,17,0,2,1,4,0,0,0,0,492,0,3
Marcos Acuña,ARG,"DF,MF",Sevilla,30,1991,2.4,97,78,19,0,0,0,9,18,1,0,1,0,67,0,3
Junior Adamu,AUT,FW,RB Salzburg,21,2001,2.3,48,47,1,0,0,0,5,0,0,0,0,0,25,0,5
Antonio Adán,ESP,GK,Sporting CP,35,1987,4.2,219,164,55,20,0,1,0,0,0,0,0,0,153,0,0
Arijan Ademi,MKD,MF,Dinamo Zagreb,31,1991,5.2,147,141,6,2,0,1,0,0,0,0,0,0,122,0,5
Karim Adeyemi,GER,"FW,MF",Dortmund,20,2002,4.2,101,100,1,0,0,0,6,1,0,0,0,0,77,0,5
Amine Adli,FRA,"FW,MF",Leverkusen,22,2000,1.3,64,62,2,0,1,0,4,1,1,0,0,0,44,0,2
Manuel Akanji,SUI,DF,Manchester City,27,1995,10.5,831,789,42,14,1,7,1,28,0,0,0,0,763,0,6
Nathan Aké,NED,DF,Manchester City,27,1995,6.8,598,562,35,11,1,5,5,24,0,0,0,0,547,1,5
David Alaba,AUT,DF,Real Madrid,30,1992,7.9,476,447,29,7,0,0,19,18,2,0,2,0,414,0,4
Lucas Alario,ARG,"FW,MF",Eint Frankfurt,29,1992,0.2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Jordi Alba,ESP,DF,Barcelona,33,1989,1.6,183,166,17,3,1,0,9,14,0,0,0,0,162,0,0
