Player,Nationality,Position,Club,Age,Born,90s,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (LiveBall),Take-ons attempted,Take-ons completed,successful takeon (%),Times tackled during takeon,Times tackled during takeon (%),Carries,Total carrying distance,Progressive carrying distance,Progressive carries,Carries into final third,Carries into penalty area,Miscontrols,Dispossessed,Passes received,Progressive passes received
Liel Abada, ISR,"FW,MF",Celtic,20,2001,2.4,81,1,6,20,56,9,81,4,1,25.0,1,25.0,68,375,181,6,6,2,5,9,66,23
Oliver Abildgaard, DEN,MF,Celtic,26,1996,0.7,44,1,13,24,7,0,44,0,0,,0,,16,60,25,0,0,0,1,2,21,0
Mohammad Abu Fani, ISR,MF,Maccabi Haifa,24,1998,4.4,280,1,52,153,83,7,280,13,7,53.8,4,30.8,209,1128,469,6,7,0,6,6,210,20
Francesco Acerbi, ITA,DF,Inter,34,1988,10.2,662,90,333,307,24,6,662,2,1,50.0,1,50.0,385,1786,894,8,6,1,3,0,439,1
Marcos Acuña, ARG,"DF,MF",Sevilla,30,1991,2.4,126,12,56,41,30,0,126,4,1,25.0,3,75.0,64,270,128,4,1,0,4,5,62,8
Junior Adamu, AUT,FW,RB Salzburg,21,2001,2.3,87,4,16,34,38,11,87,4,1,25.0,3,75.0,52,225,54,1,0,1,8,6,56,11
Antonio Adán, ESP,GK,Sporting CP,35,1987,4.2,235,216,235,0,0,0,235,0,0,,0,,131,597,344,0,0,0,0,0,119,0
Arijan Ademi, MKD,MF,Dinamo Zagreb,31,1991,5.2,199,6,59,99,42,7,199,6,1,16.7,5,83.3,109,455,180,3,1,0,7,2,115,6
Karim Adeyemi, GER,"FW,MF",Dortmund,20,2002,4.2,167,4,39,43,87,22,167,26,10,38.5,14,53.8,113,891,518,23,10,13,10,6,109,31
Amine Adli, FRA,"FW,MF",Leverkusen,22,2000,1.3,85,0,9,28,49,8,85,4,1,25.0,3,75.0,46,264,159,7,3,2,2,2,62,15
Manuel Akanji, SUI,DF,Manchester City,27,1995,10.5,915,38,309,520,90,13,915,2,1,50.0,1,50.0,587,2697,1541,10,13,1,5,1,701,8
Nathan Aké, NED,DF,Manchester City,27,1995,6.8,641,26,176,393,78,3,641,3,2,66.7,1,33.3,414,1821,1180,9,10,0,1,1,506,9
David Alaba, AUT,DF,Real Madrid,30,1992,7.9,537,58,222,231,90,8,537,3,3,100.0,0,0.0,339,1463,741,8,8,3,6,2,394,26
Lucas Alario, ARG,"FW,MF",Eint Frankfurt,29,1992,0.2,5,0,0,3,2,0,5,0,0,,0,,3,6,0,0,0,0,2,2,6,1
Jordi Alba, ESP,DF,Barcelona,33,1989,1.6,192,5,28,103,62,8,192,1,0,0.0,1,100.0,153,508,261,4,5,1,0,2,149,23
Thiago Alcántara, ESP,MF,Liverpool,31,1991,3.4,269,5,47,153,73,2,269,4,2,50.0,1,25.0,137,717,329,3,10,2,5,7,183,3
