Player,Nationality,Pos,Club,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdYellow,CrdRed,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Liel Abada, ISR,"FW,MF",Celtic,20,2001,5,4,217,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,6,4,23,0.0,0.0,0.0,0.0,0.0,0.14,0.2,0.34,0.14,0.34
Oliver Abildgaard, DEN,MF,Celtic,26,1996,2,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Abu Fani, ISR,MF,Maccabi Haifa,24,1998,6,4,400,4.4,0,0,0,0,0,0,1,0,0.4,0.4,0.6,0.9,6,29,20,0.0,0.0,0.0,0.0,0.0,0.08,0.13,0.21,0.08,0.21
Francesco Acerbi, ITA,DF,Inter,34,1988,12,10,921,10.2,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,8,29,1,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
Marcos Acuña, ARG,"DF,MF",Sevilla,30,1991,4,3,219,2.4,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,4,5,8,0.0,0.41,0.41,0.0,0.41,0.04,0.09,0.13,0.04,0.13
Junior Adamu, AUT,FW,RB Salzburg,21,2001,6,2,204,2.3,1,1,2,1,0,0,1,0,1.3,1.3,0.4,1.7,1,1,11,0.44,0.44,0.88,0.44,0.88,0.57,0.16,0.73,0.57,0.73
Antonio Adán, ESP,GK,Sporting CP,35,1987,5,5,382,4.2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arijan Ademi, MKD,MF,Dinamo Zagreb,31,1991,6,6,471,5.2,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,3,10,6,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09
Karim Adeyemi, GER,"FW,MF",Dortmund,20,2002,6,5,376,4.2,2,0,2,2,0,0,1,0,1.8,1.8,1.1,2.9,23,9,31,0.48,0.0,0.48,0.48,0.48,0.43,0.27,0.7,0.43,0.7
Amine Adli, FRA,"FW,MF",Leverkusen,22,2000,4,1,121,1.3,0,0,0,0,0,0,0,0,0.7,0.7,0.3,0.9,7,6,15,0.0,0.0,0.0,0.0,0.0,0.5,0.21,0.71,0.5,0.71
Manuel Akanji, SUI,DF,Manchester City,27,1995,11,10,945,10.5,1,0,1,1,0,0,2,0,0.9,0.9,0.4,1.3,10,44,8,0.1,0.0,0.1,0.1,0.1,0.09,0.03,0.12,0.09,0.12
Nathan Aké, NED,DF,Manchester City,27,1995,8,7,608,6.8,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,9,54,9,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07
David Alaba, AUT,DF,Real Madrid,30,1992,11,9,711,7.9,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.8,8,19,26,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.11,0.03,0.11
Lucas Alario, ARG,"FW,MF",Eint Frankfurt,29,1992,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordi Alba, ESP,DF,Barcelona,33,1989,2,2,146,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,4,19,23,0.0,0.62,0.62,0.0,0.62,0.0,0.39,0.39,0.0,0.39
Thiago Alcántara, ESP,MF,Liverpool,31,1991,5,3,306,3.4,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.6,3,30,3,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.18,0.05,0.18
Trent Alexander-Arnold, ENG,DF,Liverpool,23,1998,7,7,625,6.9,1,0,1,1,0,0,2,0,0.3,0.3,1.2,1.5,11,52,33,0.14,0.0,0.14,0.14,0.14,0.05,0.17,0.22,0.05,0.22
Sotiris Alexandropoulos, GRE,MF,Sporting CP,20,2001,3,0,121,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
Faride Alidou, GER,"DF,FW",Eint Frankfurt,21,2001,5,0,73,0.8,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,4,0,6,1.23,0.0,1.23,1.23,1.23,0.33,0.15,0.48,0.33,0.48
Alisson, BRA,GK,Liverpool,29,1992,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Alonso, ESP,DF,Barcelona,31,1990,5,5,403,4.5,1,0,1,1,0,0,0,0,1.0,1.0,0.9,1.9,8,26,12,0.22,0.0,0.22,0.22,0.22,0.23,0.2,0.42,0.23,0.42
Éder Álvarez Balanta, COL,"MF,FW",Club Brugge,29,1993,4,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
Edson Álvarez, MEX,MF,Ajax,24,1997,6,6,531,5.9,1,0,1,1,0,0,2,0,0.9,0.9,0.1,1.0,4,14,4,0.17,0.0,0.17,0.17,0.17,0.15,0.02,0.17,0.15,0.17
Julián Álvarez, ARG,FW,Manchester City,22,2000,10,4,474,5.3,3,2,5,3,0,0,1,0,2.4,2.4,1.0,3.3,7,9,36,0.57,0.38,0.95,0.57,0.95,0.45,0.18,0.63,0.45,0.63
Nadiem Amiri, GER,"MF,FW",Leverkusen,25,1996,5,1,123,1.4,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.6,2,6,7,0.0,0.73,0.73,0.0,0.73,0.11,0.35,0.46,0.11,0.46
