Player,Nationality,Position,Club,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!.1,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Liel Abada, ISR,"FW,MF",Celtic,20,2001,5,217,43.0,40.2,2.4,4,53.0,0,1,5.0,0,0.4,1.0,5.0,-4.0,-1.66,0.29,4.0,5.3,-1.2,-0.52,-0.38
Oliver Abildgaard, DEN,MF,Celtic,26,1996,2,63,32.0,11.7,0.7,0,,0,2,32.0,3,0.0,2.0,2.0,0.0,0.0,2.08,0.6,2.3,-1.7,-2.45,-2.45
Mohammad Abu Fani, ISR,MF,Maccabi Haifa,24,1998,6,400,67.0,74.1,4.4,4,80.0,2,2,40.0,0,1.18,4.0,19.0,-15.0,-3.38,-4.02,4.3,7.7,-3.3,-0.75,-0.72
Francesco Acerbi, ITA,DF,Inter,34,1988,12,921,77.0,78.7,10.2,10,90.0,10,2,11.0,1,2.0,16.0,7.0,9.0,0.88,1.24,16.0,10.2,5.8,0.57,1.66
Marcos Acuña, ARG,"DF,MF",Sevilla,30,1991,4,219,55.0,40.6,2.4,3,68.0,1,1,14.0,1,1.0,4.0,5.0,-1.0,-0.41,0.99,1.9,5.1,-3.3,-1.35,-0.92
Junior Adamu, AUT,FW,RB Salzburg,21,2001,6,204,34.0,37.8,2.3,2,71.0,0,4,16.0,0,1.0,2.0,5.0,-3.0,-1.32,-1.06,3.9,3.6,0.3,0.12,-0.17
Antonio Adán, ESP,GK,Sporting CP,35,1987,5,382,76.0,70.7,4.2,5,76.0,4,0,,0,1.4,8.0,5.0,3.0,0.71,2.99,3.4,5.4,-2.0,-0.47,1.84
Arijan Ademi, MKD,MF,Dinamo Zagreb,31,1991,6,471,79.0,87.2,5.2,6,79.0,2,0,,0,1.42,4.0,9.0,-5.0,-0.96,1.65,3.4,8.7,-5.3,-1.02,2.94
Karim Adeyemi, GER,"FW,MF",Dortmund,20,2002,6,376,63.0,52.2,4.2,5,75.0,1,1,3.0,0,1.5,6.0,3.0,3.0,0.72,0.46,6.2,7.2,-1.0,-0.24,-0.26
Amine Adli, FRA,"FW,MF",Leverkusen,22,2000,4,121,30.0,22.4,1.3,1,56.0,0,3,22.0,0,0.5,0.0,3.0,-3.0,-2.23,-2.02,2.5,3.5,-1.0,-0.72,-1.26
Adrián, ESP,GK,Liverpool,35,1987,0,,,,,0,,0,0,,8,,,,,,,,,,,
Manuel Akanji, SUI,DF,Manchester City,27,1995,11,945,86.0,80.8,10.5,10,90.0,10,1,45.0,1,2.09,24.0,4.0,20.0,1.9,-0.9,20.0,8.8,11.2,1.06,-0.85
Nathan Aké, NED,DF,Manchester City,27,1995,8,608,76.0,52.0,6.8,7,86.0,6,1,3.0,3,2.0,15.0,2.0,13.0,1.92,-0.32,11.7,6.7,5.0,0.74,-1.02
Ilias Akhomach, ESP,FW,Barcelona,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
David Alaba, AUT,DF,Real Madrid,30,1992,11,711,65.0,65.8,7.9,9,74.0,5,2,23.0,0,2.09,16.0,9.0,7.0,0.89,-0.58,15.3,12.5,2.8,0.36,-0.52
Lucas Alario, ARG,"FW,MF",Eint Frankfurt,29,1992,2,20,10.0,2.8,0.2,0,,0,2,10.0,6,1.5,0.0,1.0,-1.0,-4.5,-3.86,0.4,0.4,0.0,0.12,0.76
Jordi Alba, ESP,DF,Barcelona,33,1989,2,146,73.0,27.0,1.6,2,73.0,1,0,,4,3.0,8.0,2.0,6.0,3.7,5.07,4.1,2.5,1.6,1.01,1.25
